Pair,Pair,Makespan (s),Makespan (s),Number of Actions,Number of Actions,Processing Time (s),Processing Time (s),Memory Usage (GB),Memory Usage (GB),
Tool A,Tool B,H,p,H,p,H,p,H,p,
PA,CFP,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,CS,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,CA,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,O,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,OT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,A,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,AT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,AO,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
PA,AOT,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,
CFP,CS,0.0000,1.0000,0.0000,1.0000,2.7945,0.0946,0.0172,0.8956,
CFP,CA,0.0000,1.0000,0.0000,1.0000,3.2677,0.0707,0.0919,0.7618,
CFP,O,0.0000,1.0000,0.0000,1.0000,6.5109,0.0107,0.0342,0.8533,
CFP,OT,0.0000,1.0000,0.0000,1.0000,11.0404,0.0009,4.0987,0.0429,
CFP,A,0.0000,1.0000,0.0000,1.0000,10.0687,0.0015,5.7060,0.0169,
CFP,AT,0.0000,1.0000,0.0000,1.0000,10.1208,0.0015,1.4121,0.2347,
CFP,AO,0.0000,1.0000,0.0000,1.0000,8.1453,0.0043,1.2736,0.2591,
CFP,AOT,0.0000,1.0000,0.0000,1.0000,12.6915,0.0004,3.9177,0.0478,
CS,CA,0.0000,1.0000,0.0000,1.0000,0.1828,0.6690,0.8048,0.3697,
CS,O,0.0000,1.0000,0.0000,1.0000,2.8029,0.0941,1.6457,0.1995,
CS,OT,0.0000,1.0000,0.0000,1.0000,3.1654,0.0752,5.0490,0.0246,
CS,A,0.0000,1.0000,0.0000,1.0000,2.3448,0.1257,3.7713,0.0521,
CS,AT,0.0000,1.0000,0.0000,1.0000,2.8625,0.0907,0.1058,0.7450,
CS,AO,0.0000,1.0000,0.0000,1.0000,2.1535,0.1422,2.4837,0.1150,
CS,AOT,0.0000,1.0000,0.0000,1.0000,4.0297,0.0447,2.1204,0.1454,
CA,O,0.0000,1.0000,0.0000,1.0000,1.5434,0.2141,1.3388,0.2472,
CA,OT,0.0000,1.0000,0.0000,1.0000,3.6369,0.0565,3.9387,0.0472,
CA,A,0.0000,1.0000,0.0000,1.0000,2.6863,0.1012,4.3085,0.0379,
CA,AT,0.0000,1.0000,0.0000,1.0000,2.8996,0.0886,0.2395,0.6246,
CA,AO,0.0000,1.0000,0.0000,1.0000,1.2177,0.2698,0.8214,0.3648,
CA,AOT,0.0000,1.0000,0.0000,1.0000,4.7889,0.0286,2.7391,0.0979,
O,OT,0.0000,1.0000,0.0000,1.0000,0.3393,0.5602,3.8473,0.0498,
O,A,0.0000,1.0000,0.0000,1.0000,0.1206,0.7284,5.8623,0.0155,
O,AT,0.0000,1.0000,0.0000,1.0000,0.2915,0.5893,1.4002,0.2367,
O,AO,0.0000,1.0000,0.0000,1.0000,0.0134,0.9078,3.4231,0.0643,
O,AOT,0.0000,1.0000,0.0000,1.0000,0.7870,0.3750,2.2387,0.1346,
OT,A,0.0000,1.0000,0.0000,1.0000,0.7537,0.3853,1.0148,0.3138,
OT,AT,0.0000,1.0000,0.0000,1.0000,0.7734,0.3792,0.4959,0.4813,
OT,AO,0.0000,1.0000,0.0000,1.0000,1.6988,0.1924,3.0197,0.0823,
OT,AOT,0.0000,1.0000,0.0000,1.0000,0.0427,0.8362,0.0418,0.8381,
A,AT,0.0000,1.0000,0.0000,1.0000,0.9927,0.3191,3.3799,0.0660,
A,AO,0.0000,1.0000,0.0000,1.0000,1.8906,0.1691,2.2946,0.1298,
A,AOT,0.0000,1.0000,0.0000,1.0000,0.4115,0.5212,1.3660,0.2425,
AT,AO,0.0000,1.0000,0.0000,1.0000,0.8945,0.3443,0.1072,0.7434,
AT,AOT,0.0000,1.0000,0.0000,1.0000,1.9664,0.1608,1.8560,0.1731,
AO,AOT,0.0000,1.0000,0.0000,1.0000,3.0291,0.0818,2.1344,0.1440,
